,alb,ara,chn,deu,ell,eng,fin,fra,hrv,ind,ita,jpn,pol,por,zsm,nld,rus,spa,vnm
Colon,:,:,:,: ,:,: ,:, : ,:,:,:,:,:,:,:,:,:,:,:
Creampie,Tartë me krem,فطائر كريمة,奶油派,Sahnetorte,Εντοπισμός στόχου επιτυχημένες προσπάθειες,Cream pies,kermatorttu,Tartes à la crème,Krempita ,Pai krim,Torte alla crema,クリームパイ,Torty kremowe,Pastéis de nata,Pai krim,Taarten,Кремовый пирог,Tarta de crema,Bánh kem
FrogsRace,Vrapo bretkosë!,سباق الضفادع!,Ribbit Run!,Ribbit Run!,Ribbit Run!,Ribbit Run!,La course des grenouilles,La course des grenouilles!,Ribbit Run!,Ribbit Run!,Ribbit Run!,Ribbit Run!,Ribbit Run!,Ribbit Run!,Frog Runner!,Ribbit Run!,Ribbit Run!,Ribbit Run!,Ribbit Run!
Ninja,Ninxha,النينجا,忍者 ！,Ninja !,Εντοπισμός στόχου επιτυχημένες προσπάθειες,Ninja !,Ninja,Ninja !,Ninja,Ninja!,Ninja!,にんじゃ !,Ninja!,Ninja,Ninja!,Ninja !,Ниндзя,Ninja,Ninja !
MagicCards,Karta magjike,اوراق سحرية,魔幻卡,Zauberkarten,Επιτυχημένες αποκαλύψεις,Magic cards,Taikakortit,Cartes magiques,Čarobne kartice,Kad sihir,Carte magiche,マジックカード,Magiczne karty,Cartas mágicas,Kad sihir,Magische kaarten,Магические карты,Tarjetas mágicas,Những quân bài ma thuật
Blocks,Blloqe,مكعبات,,Blocks,Επιτυχημένες αποκαλύψεις,Blocks,kappaleet,Blocs,Blokovi,Blok,Blocchi,ブロック,Bloki,Bloco,Blok,Blokken,Блоки,Bloques,Các hình khối
ScratchCard,Karta gërvishtëse,بطاقات للخدش,刮刮乐,Rubbellose,Επιτυχημένες αποκαλύψεις,ScratchCards,raaputuskortti,Cartes à gratter,Zagrebi i osvoji,ScratchCards,Gratta e vinci,スクラッチカード,Zdrapki,Raspadinhas,ScratchCards,Kraskaart,Лотерейка,Tarjetas para raspar,Thẻ cào
ColoredBubbles,Flluska me ngjyra,فقاعات ملونة,多彩泡泡,Farbige blasen,Eγχρωμες φυσαλίδες,Colored Bubbles,väritetyt kuplat,Bulles colorées,Šareni mjehurići,Buih berwarna,Bolle colorate,たしょくのあわ,Kolorowe bąbelki,Bulha colorida,Buih berwarna,Kleur Bubbels,Цветные пузыри,Burbujas de colores,Bong bóng màu
PortraitBubbles,Flluska me portrete,فقاعات,肥皂泡,Porträt Blasen,Φυσαλίδες με πορτρέτα,Portrait Bubbles,muotokuvakuplat,Bulles portrait,Mjehurići s portretom,Potret Bubbles,Bolle con ritratto,しょうぞうのあわ,Portret Bąbelki ???,Bulha retrato,Potret Bubbles,Foto Bubbels,Пузырьки с картинками,Burbujas retrato,Bong bóng có chân dung
WhereIsTheAnimal,Ku është kafsha?,اين هذا الحيوان؟,这个动物在哪？,Wo ist dieses Tier?,Επιτυχημένες αποκαλύψεις,Where is this animal?,missä on eläin,Où est cet animal ?,Gdje je ova životinja?,Di manakah haiwan ini?,Dov'è questo animale?,このせいぶつはドコ？,Gdzie jest to zwierzę?,Onde està essa animal ?,Di manakah haiwan ini?,Waar is dit dier?,Где это животное?,Donde está este animal?,Con vật này ở đâu?
WhereIsTheColor,Ku është ngjyra?,اين هذا اللون؟,这个颜色在哪？,Wo ist die Farbe?,Επιτυχημένες αποκαλύψεις,Where is this color?,missä on väri,Où est cette couleur ?,Gdje je ova boja?,Di manakah warna ini?,Dov'è questo colore?,このいろはドコ？,Gdzie jest ten kolor?,Onde està essa côr ?,Di manakah warna ini?,Waar is deze kleur?,Где этот цвет?,Donde ves este color?,Màu này ở đâu?
WhereIsTheLetter,Ku është shkronja?,اين هذا الحرف؟,,,,Where is the letter?,,Où est cette lettre ?,,,,,,,,,,,
WhereIsTheNumber,Ku është numri?,اين هذا الرقم؟,,,,Where is the number?,,Où est ce nombre ?,,,,,,,,,,,
WhereIsIt,Ku është?,اين هذا؟,它在哪？,Wo ist es?,Επιτυχημένες αποκαλύψεις,Where is it ?,missä se on,Où est-ce ?,Gdje je?,Di mana ia?,Dov'è?,これはドコ？,Gdzie to jest ?,Onde é ?,Di mana ia?,Waar is het?,Где это находится?,Donde está?,Nó ở đâu?
Fun with Flags,Luajmë me Flamujt,اين هذا العلم؟,,,,Fun with Flags,,Trouve les drapeaux,,,Trova la bandiera,,,Scopri la bandiera,,,,,
StatsTitle,Statistika,احصائيات,统计,Statistiken,Στατιστικά,Statistics,otsikko,Statistiques,Statistika,Statistik,Statistiche,統計,Statystyka,Estatística,Statistik,Statistieken,Статистика,Estadísticas,Số liệu thống kê
Aver,Mesatarja,معدل,平均值,Durchschnitt,Μέση τιμή,Average,Keskiverto,Moyenne,Prosječan,Purata,Media,平均,Średni,Média,Purata,Gemiddelde,Средний показатель,Promedio,Trung bình
Med,Mediani,متوسط,中位数,Median,Διάμεσος,Median,Mediaani,Médiane,Srednji,Median,Mediana,中央値,Sredni/Srodkowy,Mediana,Median,Mediaan,Медианное значение,Mediana,Giá trị giữa
TotalLength,Kohëzgjatja e lojës,وقت اللعب الإجمالي,总游戏时间,Zeit auf dem Spiel,Συνολικός ενεργός χρόνος παιχνιδιού,Total active playtime,kokonaispituus,Temps de jeu actif,Ukupno aktivno vrijeme igranja,Jumlah jam bermain aktif,Tempo totale di gioco attivo,遊び時間,Łączny czas odtwarzania,Tempo de jogo activo,Jumlah jam bermain aktif,Totale actieve speeltijd,Общее время воспроизведения,Tiempo activo de juego,Tổng thời gian chơi
Shots,Gjuajtje,رميات,射击,Schüsse,Εντοπισμός στόχου επιτυχημένες προσπάθειες,Shots,ammuskelu,Tirs,Pogoci,Tembak,Tiri,射撃,Pędy,Tiros,Tembak,Aantal hits,Выстрелы,Tiros,Lần bắn
HitRate,Raporti i gjuajtjeve,نسبة الطلقات,镜头比例,Zum Platzen gebrachte Blasen,Φούσκες έκρηξης,Hit rate,kuplien ammuskelu,Taux de réussite,Rasprsni mjehuriće,Buih pecah,Rapporto dei tiri,,Pekniete babelki,Bulha atingido,Buih pecah,Ratio de tirs,Шарики,Tasa de éxito,tỷ lệ bắn
BubbleShot,Flluska të çara,رمي الفقاعات,戳泡泡,Zum Platzen gebrachte Blasen,Φούσκες έκρηξης,Burst bubbles,kuplien ammuskelu,Bulles éclatées,Rasprsni mjehuriće,Buih pecah,Bolle scoppiate,,Pekniete babelki,Bulha atingido,Buih pecah,Barst de bubbels,Шарики,Burbujas reventadas,Số bóng bắn vỡ
HiddenItemsShot,Imazhe të fshehura,الصور المخفية,,Entdeckte Bilder,Ακάλυπτες εικόνες,Uncovered Images,piileskelevien juttujen ammuskelu,Images découvertes,Skrivene slike ,Gambar dijumpai,Immagini scoperte,,Nie odkryte obrazy,Imagens descobstas,Gambar dijumpai,Ontdek de prenten,Стреляй в скрытые предметы,Imagenes descubiertas,Số hình đã mở
Length,Koha aktive e lojës,وقت اللعب الفعلي,实际游戏时间,Gespielte Zeit,Πραγματικός χρόνος παιχνιδιού,Actual play Time,pituus,Temps effectif de jeu,Efektivno vrijeme igranja,Masa mainan sebenar,Tempo di gioco effettivo,,Rzeczywisty czas gry,Tempo de jogo efectivo,Masa mainan sebenar,Totale speeltijd,Время в игре,Tiempo efectivo de juego,Thời gian chơi
