,alb,ara,chn,deu,ell,eng,fin,fra,hrv,ita,ind,jpn,pol,por,zsm,nld,rus,spa,vnm,bel,hin
black,Ku është ngjyra e zezë?,أين الأسود؟,黑色在哪里？,Wo ist das Schwarz?,Πού είναι το μαύρο;,Where is the black?,Missä on musta?,Où est le noir ?,Gdje je crna?,Dov'è il nero?,Di manakah warna hitam?,黒はどこですか？,Gdzie jest czarny?,Onde está o preto?,Yang manakah warna hitam?,Waar is de zwarte?,Где черный?,¿Dónde está el negro?,đâu là màu đen?,Дзе чорнае?,काला कहाँ है?
blue,Ku është ngjyra blu?,أين الأزرق؟,蓝色在哪里？,Wo ist das Blau?,Πού είναι το μπλε;,Where is the blue?,Missä on sininen?,Où est le bleu ?,Gdje je plava?,Dov'è il blu?,Di manakah warna biru?,青はどこですか？,Gdzie jest niebieski?,Onde está o azul?,Yang manakah warna biru?,Waar is het blauw?,Где синий?,Donde esta el azul?,Màu xanh lam ở đâu?,Дзе сіні?,नीला कहाँ है?
brown,Ku është ngjyra kafe?,أين البني؟,棕色在哪里？,Wo ist das Braun?,Πού είναι το καφέ;,Where is the brown?,Missä on ruskea?,Où est le marron ?,Gdje je smeđa?,Dov'è il marrone?,Di manakah warna coklat?,茶色はどこですか？,Gdzie jest brązowy?,Onde está o marrom?,Yang manakah warna coklat?,Waar is het bruin?,Где коричневый?,¿Dónde está el marrón?,Màu nâu ở đâu?,Дзе карычневы?,भूरा कहाँ है?
green,Ku është ngjyra jeshile?,أين الأخضر؟,绿色在哪里？,Wo ist das Grün?,Πού είναι το πράσινο;,Where is the green?,Missä on vihreä?,Où est le vert ?,Gdje je zelena?,Dov'è il verde?,Di manakah warna hijau?,緑はどこですか？,Gdzie jest zielony?,Onde está o verde?,Yang manakah warna hijau?,Waar is het groen?,Где зеленый?,¿Dónde está el verde?,Màu xanh lá cây ở đâu?,Дзе зялёны?,हरा कहाँ है?
grey,Ku është ngjyra gri?,أين الرمادي؟,灰色在哪里？,Wo ist das Grau?,Πού είναι το γκρι;,Where is the grey?,Missä on harmaa?,Où est le gris ?,Gdje je siva?,Dov'è il grigio?,Di manakah warna abu-abu?,グレーはどこですか？,Gdzie jest szary?,Onde está o cinza?,Yang manakah warna kelabu?,Waar is het grijs?,Где серый?,¿Dónde está el gris?,Màu xám ở đâu?,Дзе шэры?,ग्रे कहाँ है?
orange,Ku është ngjyra portokalli?,أين البرتقالي؟,橙子在哪里？,Wo ist die Orange?,Πού είναι το πορτοκαλί;,Where is the orange?,Missä on oranssi?,Où est l’orange ?,Gdje je naranča?,Dov'è l'arancia?,Di manakah warna jingga?,オレンジはどこですか？,Gdzie jest pomarańczowy?,Onde está a laranja?,Yang manakah warna oren?,Waar is de sinaasappel?,Где оранжевый?,¿Dónde está la naranja?,Đâu là cam?,Дзе апельсін?,संतरा कहाँ है?
pink,Ku është ngjyra rozë?,أين اللون الوردي؟,粉红色在哪里？,Wo ist das Rosa?,Πού είναι το ροζ;,Where is the pink?,Missä on vaaleanpunainen?,Où est le rose ?,Gdje je ružičasta?,Dov'è il rosa?,Di manakah warna merah muda?,ピンクはどこですか？,Gdzie jest różowy?,Onde está o rosa?,Yang manakah warna merah jambu?,Waar is het roze?,Где розовый?,¿Dónde está el rosa?,Màu hồng ở đâu?,Дзе ружовы?,गुलाबी कहाँ है?
purple,Ku është ngjyra lejla?,أين هو اللون الأرجواني؟,紫色在哪里？,Wo ist das Purpur?,Πού είναι το μοβ;,Where is the purple?,Missä on violetti?,Où est le violet ?,Gdje je ljubičasta?,Dov'è il viola?,Di manakah warna ungu?,紫色はどこですか？,Gdzie jest fioletowy?,Onde está o roxo?,Yang manakah warna ungu?,Waar is het paars?,Где фиолетовый?,¿Dónde está el morado?,Màu tím đâu rồi?,Дзе фіялетавы?,बैंगनी कहाँ है?
red,Ku është ngjyra e kuqe?,اين الاحمر؟,红色在哪里？,Wo ist das Rot?,Πού είναι το κόκκινο;,Where is the red?,Missä on punainen?,Où est le rouge ?,Gdje je crvena?,Dov'è il rosso?,Di manakah warna merah?,赤はどこですか？,Gdzie jest czerwony?,Onde está o vermelho?,Yang manakah warna merah?,Waar is het rood?,Где красный?,¿Dónde está el rojo?,Màu đỏ ở đâu?,Дзе чырвонае?,लाल कहाँ है?
white,Ku është ngjyra e bardhë?,أين هو الأبيض؟,白色在哪里？,Wo ist das Weiß?,Πού είναι το λευκό;,Where is the white?,Missä on valkoinen?,Où est le blanc ?,Gdje je bijela?,Dov'è il bianco?,Di manakah warna putih?,白はどこですか？,Gdzie jest biały?,Onde está o branco?,Yang manakah warna putih?,Waar is het wit?,Где белый?,¿Dónde está el blanco?,Màu trắng ở đâu?,Дзе белы?,सफेद कहाँ है?
yellow,Ku është ngjyra e verdhë?,اين الصفراء؟,黄色在哪里？,Wo ist das Gelb?,Πού είναι το κίτρινο;,Where is the yellow?,Missä on keltainen?,Où est le jaune ?,Gdje je žuta?,Dov'è il giallo?,Di manakah warna kuning?,黄色はどこですか？,Gdzie jest żółty?,Onde está o amarelo?,Yang manakah warna kuning?,Waar is het geel?,Где жёлтый?,¿Dónde está el amarillo?,Màu vàng ở đâu?,Дзе жоўты?,पीला कहाँ है?
