,alb,ara,bel,chn,deu,ell,eng,fin,fra,hin,hrv,ind,ita,jpn,nld,pol,por,rus,spa,vnm,zsm,
arrow,Ku është shigjeta?,أين السهم؟,Дзе стрэлка?,箭头在哪里？,Wo ist der Pfeil?,Πού είναι το βέλος,,Where is the arrow?,Missä nuoli on?,Où est la flèche ?,तीर कहाँ है?,Gdje je strijela?,Di manakah anak panah itu?,Dov'è la freccia?,矢印はどこにありますか？,Waar is de pijl?,Gdzie jest strzała?,Onde está a flecha?,Где стрелка?,¿Dónde está la flecha?,Mũi tên ở đâu?,Di manakah anak panah?
crescent,Ku është gjysmëhëna?,اين الهلال؟,Дзе паўмесяц?,新月在哪里？,Wo ist der Halbmond?,Πού είναι η ημισέληνος,,Where is the moon?,Missä puolikuu on?,Où est la lune ?,वर्धमान कहाँ है?,Gdje je polumjesec?,Di manakah bulan sabit?,Dov'è la mezzaluna?,三日月はどこですか？,Waar is de halve maan?,Gdzie jest półksiężyc?,Onde está o crescente?,Где полумесяц?,¿Dónde está la media luna?,Lưỡi liềm ở đâu?,Di manakah bulan sabit?
cross,Ku është kryqi?,أين الصليب؟,Дзе крыж?,十字架在哪里？,Wo ist das Kreuz?,Πού είναι ο σταυρός,,Where is the cross?,Missä risti on?,Où est la croix ?,क्रॉस कहाँ है?,Gdje je križ?,Di manakah salib?,Dov'è la croce?,十字架はどこにありますか？,Waar is het kruis?,Gdzie jest krzyż?,Onde está a cruz?,Где крест?,¿Dónde está la cruz?,Thập tự giá ở đâu?,Di manakah salib?
decagon,Ku është dhjetëkëndëshi?,أين هو الداكاغون؟,Дзе дзесяцівугольнік?,十边形在哪里？,Wo ist das Zehneck?,Πού είναι το δεκαγώνο,,Where is the decagon?,Missä on kymmenkulmio?,Où est le décagone ?,दसभुज कहाँ है?,Gdje je dekagon?,Di manakah dekagonnya?,Dov'è il decagono?,十角形はどこにありますか？,Waar is de tienhoek?,Gdzie jest dziesięciokąt?,Onde está o decágono?,Где десятиугольник?,¿Dónde está el decágono?,Hình thập giác ở đâu?,Di manakah dekagon?
heart,Ku është zemra?,اين القلب,Дзе сэрца?,心在哪里？,Wo ist das Herz?,Πού είναι η καρδιά,,Where is the heart?,Missä on sydän?,Où est le cœur ?,दिल कहाँ है?,Gdje je srce?,Di manakah hati?,Dov'è il cuore?,心はどこにありますか？,Waar is het hart?,Gdzie jest serce?,Onde está o coração?,Где сердце?,¿Dónde esta el corazon,Trái tim ở đâu?,Di manakah hati?
heptagon,Ku është shtatëkëndëshi?,أين هو سباعي الأضلاع؟,Дзе сямікутнік?,七边形在哪里？,Wo ist das Siebeneck?,Πού είναι το επτάγωνο,,Where is the heptagon?,Missä on seitsemänkulmio?,Où est l'heptagone ?,सातकोणक कहाँ है?,Gdje je sedmerokut?,Di manakah segi enam?,Dov'è l'eptagono?,七角形はどこにありますか？,Waar is de zevenhoek?,Gdzie jest siedmiokąt?,Onde está o heptágono?,Где семиугольник?,¿Dónde está el heptágono?,Hình thất giác ở đâu?,Di manakah heptagon?
hexagon,Ku është gjashtëkëndëshi?,أين هو الشكل السداسي؟,Дзе шасцікутнік?,六边形在哪里？,Wo ist das Sechseck?,Πού είναι το εξάγωνο,,Where is the hexagon?,Missä on kuusikulmio?,Où est l'hexagone ?,षट्भुज कहाँ है?,Gdje je šesterokut?,Di manakah segi enam?,Dov'è l'esagono?,六角形はどこにありますか？,Waar is de zeshoek?,Gdzie jest sześciokąt?,Onde está o hexágono?,Где шестиугольник?,¿Dónde está el hexágono?,Hình lục giác ở đâu?,Di manakah heksagon?
nonagon,Ku është jokëndëshi?,أين النوناجون؟,Дзе невугольнік?,九边形在哪里？,Wo ist das Neuneck?,Πού είναι το εννεάγωνο,,Where is the nonagon?,Missä on yhdeksänkulmio?,Où est le nonagone ?,नॉनगोन कहाँ है?,Gdje je nonagon?,Di manakah nonagonnya?,Dov'è il nonagon?,九角形はどこにありますか？,Waar is de negenhoek?,Gdzie jest nonagon?,Onde está o nonágono?,Где девятиугольник?,¿Dónde está el nonágono?,Hình cửu giác ở đâu?,Di manakah nonagon?
octagon,Ku është tetëkëndëshi?,أين هو المثمن؟,Дзе васьмікутнік?,八角在哪里？,Wo ist das Achteck?,Πού είναι το οκτάγωνο,,Where is the octagon?,Missä on kahdeksankulmio?,Où est l'octogone ?,अष्टकोना कहाँ है?,Gdje je osmerokut?,Di manakah segi delapan?,Dov'è l'ottagono?,八角形はどこにありますか？,Waar is de achthoek?,Gdzie jest ośmiokąt?,Onde está o octógono?,Где восьмиугольник?,¿Dónde está el octágono?,Hình bát giác ở đâu?,Di manakah oktagon?
oval,Ku është ovali?,أين هو الشكل البيضاوي؟,Дзе авал?,椭圆在哪里？,Wo ist das Oval?,Πού είναι το οβάλ,,Where is the oval?,Missä on soikea?,Où est l’oval ?,अंडाकार कहाँ है?,Gdje je oval?,Di manakah bujur?,Dov'è l'ovale?,楕円形はどこにありますか？,Waar is het ovaal?,Gdzie jest owal?,Onde fica o oval?,Где овал?,¿Dónde está el óvalo?,Hình bầu dục ở đâu?,Di manakah bujur?
