,alb,ara,bel,chn,deu,ell,eng,fin,fra,hin,hrv,ind,ita,jpn,nld,pol,por,rus,spa,vnm,zsm
bears,Ku është ariu?,أين هو الدب؟,Дзе мядзведзь?,熊在哪里？,Wo ist der Bär?,Πού είναι η αρκούδα;,Where is the bear?,Missä karhu on?,Où est l'ours ?,भालू कहाँ है?,Gdje je medvjed?,Di mana beruang itu?,Dov'è l'orso?,クマはどこですか？,Waar is de beer?,Gdzie jest niedzwiedz?,Onde está o urso?,Где медведь?,¿Donde está el oso?,Con gấu ở đâu?,Di manakah beruang?
bees,Ku është bleta?,أين النحلة؟,Дзе пчала?,蜜蜂在哪里？,Wo ist die Biene?,Πού είναι η μέλισσα;,Where is the bee?,Missä on mehiläinen?,Où est l'abeille ?,मधुमक्खी कहाँ है?,Gdje je pčela?,Di manakah lebah itu?,Dov'è l'ape?,ハチはどこですか？,Waar is de bij?,Gdzie jest pszczola?,Onde está a abelha?,Где пчела?,¿Dónde está la abeja?,Con ong ở đâu?,Di manakah lebah?
cats,Ku është macja?,أين القطة؟,Дзе кот?,猫在哪里？,Wo ist die Katze?,Που είναι η γάτα?,Where is the cat?,Missä kissa on?,Où est le chat ?,बिल्ली कहां है?,Gdje je mačka?,Di mana kucing itu?,Dov'è il gatto?,猫はどこですか？,Waar is de kat?,Gdzie jest kot?,Onde está o gato?,Где кошка?,¿Donde está el gato?,Con mèo ở đâu rồi?,Di mana kucing?
crocodiles,Ku është krokodili?,أين التمساح؟,Дзе кракадзіл?,鳄鱼在哪里？,Wo ist das Krokodil?,Πού είναι ο κροκόδειλος;,Where is the crocodile?,Missä on krokotiili?,Où est le crocodile ?,मगरमच्छ कहाँ है?,Gdje je krokodil?,Di manakah buaya itu?,Dov'è il coccodrillo?,ワニはどこですか？,Waar is de krokodil?,Gdzie jest krokodyl?,Onde está o crocodilo?,Где крокодил?,¿Dónde está el cocodrilo?,Cá sấu đâu?,Di manakah buaya?
dogs,Ku është qeni?,أين هو الكلب؟,Дзе сабака?,狗去哪儿了？,Wo ist der Hund?,Που είναι ο σκύλος?,Where is the dog?,Missä koira on?,Où est le chien ?,कुत्ता कहां है?,Gdje je pas?,Dimana anjing itu?,Dov'è il cane?,犬はどこですか？,Waar is de hond?,Gdzie jest pies?,Onde está o cachorro?,Где собака?,¿Dónde está el perro?,Con chó ở đâu?,Di manakah anjing?
eagles,Ku është shqiponja?,أين النسر؟,Дзе арол?,老鹰在哪里？,Wo ist der Adler?,Πού είναι ο αετός;,Where is the eagle?,Missä kotka on?,Où est l'aigle ?,चील कहाँ है?,Gdje je orao?,Di manakah helang?,Dov'è l'aquila?,ワシはどこですか？,Waar is de adelaar?,Gdzie jest orzel?,Onde está a águia?,Где орёл?,¿Dónde está el águila?,Đại bàng ở đâu?,Di manakah helang?
elephants,Ku është elefanti?,أين الفيل؟,Дзе слон?,大象在哪里？,Wo ist der Elefant?,Πού είναι ο ελέφαντας;,Where is the elephant?,Missä norsu on?,Où est l'éléphant ?,हाथी कहाँ है?,Gdje je slon?,Di manakah gajah itu?,Dov'è l'elefante?,象はどこですか？,Waar is de olifant?,Gdzie jest slon?,Onde está o elefante?,Где слон?,¿Dónde está el elefante?,Con voi ở đâu?,Di manakah gajah?
horses,Ku është kali?,أين هو الحصان؟,Дзе конь?,马在哪里？,Wo ist das Pferd?,Πού είναι το άλογο;,Where is the horse?,Missä hevonen on?,Où est le cheval ?,घोड़ा कहाँ है?,Gdje je konj?,Di manakah kuda itu?,Dov'è il cavallo?,馬はどこですか？,Waar is het paard?,Gdzie jest kon?,Onde está o cavalo?,Где лошадь?,¿Dónde está el caballo?,Con ngựa ở đâu?,Di manakah kuda?
lions,Ku është luani?,اين الاسد؟,Дзе леў?,狮子在哪里？,Wo ist der Löwe?,Πού είναι το λιοντάρι;,Where is the lion?,Missä leijona on?,Où est le lion ?,शेर कहाँ है?,Gdje je lav?,Di mana singa itu?,Dov'è il leone?,ライオンはどこですか？,Waar is de leeuw?,Gdzie jest lew?,Onde está o leão?,Где лев?,¿Dónde está el león?,Sư tử ở đâu?,Di mana singa?
owls,Ku është bufi?,أين البومة؟,Дзе сава?,猫头鹰在哪里？,Wo ist die Eule?,Πού είναι η κουκουβάγια;,Where is the owl?,Missä on owl?,Où est la chouette ?,उल्लू कहाँ है?,Gdje je sova?,Di manakah burung hantu?,Dov'è il gufo?,フクロウはどこですか？,Waar is de uil?,Gdzie jest sowa?,Onde está a coruja?,Где сова?,¿Dónde está el búho?,Con cú đâu rồi?,Di manakah burung hantu?
