AVAILABLE LANGUAGES,alb,ara,bel,chn,deu,ell,eng,fin,fra,hin,hrv,ind,ita,jpn,nld,pol,por,rus,spa,vnm,zsm

# PUNCTUATIONS
Colon,:,:,:,:,:,:,:,:, :,:,:,:,:,:,:,:,:,:,:,:,:

# GAME CATEGORIES
Action-Reaction games,Lojëra aksion-reagim,ألعاب أكشن-رد فعل,Гульні дзеянні-рэакцыі,动作反应游戏,Action-Reaction-Spiele,Παιχνίδια δράσης-αντίδρασης,Action-Reaction games,Toiminta-reaktiopelit,Jeux Action – Réaction,एक्शन-रिएक्शन गेम्स,Akcijsko-reakcijske igre,Game Aksi-Reaksi,Giochi di Azione-Reazione,アクション・リアクションゲーム,Actie-Reactie spellen,Gry akcji i reakcji,Jogos de ação-reação,Игры действия–реакции,Juegos de acción-reacción,Trò chơi hành động-phản ứng,Permainan Aksi-Reaksi
Selection games,Lojëra përzgjedhëse,ألعاب التحديد,Гульні з выбарам,选择注视游戏,Auswahlspiele,Παιχνίδια επιλογής,Selection games,Valikoima pelejä,Jeux Sélection,चयन खेल,Selekcijske igre,Permainan seleksi,Giochi di selezione,選択ゲーム,Selectie spellen,Gry selekcyjne,Jogos de seleção,Игры с выбором,Juegos de selección,Lựa chọn trò chơi,Permainan pilihan
Memorization games,Lojëra memorizuese,ألعاب الحفظ,Гульні з запамінаннем,记忆游戏,Gedächtnisspiele,Παιχνίδια απομνημόνευσης,Memorization games,Muistipelit,Jeux Mémorisation,याद रखने का खेल,Igre pamćenja,Game menghafal,Giochi di memorizzazione,暗記ゲーム,Geheugenspellen,Gry zapamiętywania,Jogos de memorização,Игры с запоминанием,Juegos de memorización,Trò chơi ghi nhớ,Permainan hafalan
Logic and Maths games,Lojëra logjike dhe matematikore,ألعاب المنطق والرياضيات,Матэматыка-лагічныя гульні,数理游戏,Logik- und Mathematikspiele,Παιχνίδια λογικής και μαθηματικών,Logic and Maths games,Logiikka- ja matematiikkapelejä,Jeux de Maths et Logique,तर्क और गणित के खेल,Logičke i matematičke igre,Permainan logika dan matematika,Giochi di logica e matematica,論理と数学のゲーム,Logica en wiskunde spellen,Gry logiczne i matematyczne,Jogos de lógica e matemática,Математико–логические игры,juegos de logica y matematicas,Trò chơi logic và toán học,Permainan Logik dan Matematik
Literacy games,Lojëra shkrim-leximi,ألعاب محو الأمية,Гульні на пісьменнасць,读写游戏,Alphabetisierungsspiele,Παιχνίδια αλφαβητισμού,Literacy games,Lukutaitopelit,Jeux de Littératie,साक्षरता खेल,Igre opismenjavanja,Permainan literasi,Giochi di alfabetizzazione,識字ゲーム,Alfabetiseringsspellen,Gry alfabetyczne,Jogos de alfabetização,Игры на грамотность,Juegos de alfabetización,Trò chơi luyện chữ,Permainan celik huruf
Multimedia,Multimedia,الوسائط المتعددة,Мультымедыя,多媒体,Multimedia,Πολυμέσα,Multimedia,Multimedia,Multimedia,मल्टीमीडिया,Multimedija,Multimedia,Multimedia,マルチメディア,Multimedia,Multimedialne,Multimídia,Мультимедия,Multimedia,Đa phương tiện,Multimedia

# GAMES
AnimalSounds,,,,,,,Guess the animal sound,,Devine le son de l'animal,,,,,,,,,,,,
BeraPreTest,,,,,,,Bera test,,Bera test,,,,,,,,,,,,
BeraV1,,,,,,,Bera version 1,,Bera version 1,,,,,,,,,,,,
BeraV2,,,,,,,Bera version 2,,Bera version 2,,,,,,,,,,,,
BibJump,Biboule Jump,بيبول يقذف,Скачок Бібуль,比布尔跳,Biboule Jump,Biboule Jump,Biboule Jump,Biboule Jump,Biboule Jump,बिबौल जंप,Biboule Jump,Biboule Jump,Biboule Jump,ビブールジャンプ,Biboule Jump,Biboule Jump,Biboule Jump,Бибул Прыжок,Biboule Jump,Biboule Jump,Biboule Jump
Blocks,Blloqe,مكعبات,Блокі,色块,Blöcke,Επιτυχημένες αποκαλύψεις,Blocks,kappaleet,Blocs,ब्लाकों,Blokovi,Blok,Blocchi,ブロック,Blokken,Bloki,Bloco,Блоки,Bloques,Các hình khối,Blok
Bottle,Shishe,زجاجة,Бутэлька,瓶子,Flasche,Μπουκάλι,Bottle,Pullo,Bouteille,बोतल,Boca,Botol,Bottiglia,ボトル,Fles,Butelka,Garrafa,Бутылка,Botella,Chai,Botol
Cakes,Fabrika e ëmbëlsirave,مصنع الكيك,Тортная фабрыка,蛋糕工厂,Die Kuchenfabrik,Το εργοστάσιο κέικ,The Cake Factory,Kakkutehdas,La Fabrique à Gateaux,केक फैक्टरी,Tvornica kolača,Pabrik Kue,La fabbrica di torte,ケーキ工場,De taartfabriek,Fabryka ciast,A Fábrica de Bolos,Торт Фабрика,La fábrica de pasteles,Nhà máy bánh,Kilang Kek
CasseBrique,Breakout,انطلق,Прарыў,爆发,Ausbrechen,Διάσπαση,Breakout,Puhjeta,Casse-brique,फैलना,Bijeg,Kesuksesan besar,Scoppiare,起こる,Uitbreken,Wybuch,Saia,Разразиться,Fugarse,Đột phá,Breakout
ColoredBubbles,Flluska me ngjyra,فقاعات ملونة,Каляровыя бурбалкі,多彩泡泡,Farbige blasen,Eγχρωμες φυσαλίδες,Colored Bubbles,väritetyt kuplat,Bulles colorées,रंगीन बुलबुले,Šareni mjehurići,Buih berwarna,Bolle colorate,たしょくのあわ,Kleur Bubbels,Kolorowe bąbelki,Bulha colorida,Цветные пузыри,Burbujas de colores,Bong bóng màu,Buih berwarna
Coloring,Ngjyrosje,تلوين,Размалёўка,填色,Färbung,Χρωματίζω,Coloring,värit,Coloriage,रंग,Oboji,Mewarna,Colorare,,Kleuren,Kolorowanie,Coloraçaõ,Раскраска,Colorear,Tô màu,Mewarna
Creampie,Tartë me krem,فطائر كريمة,Крэмавы пірог,奶油派,Sahnetorte,Κρέμα πίτες,Cream pies,kermatorttu,Tartes à la crème,क्रीम पाई,Krempita,Pai krim,Torte alla crema,クリームパイ,Taarten,Torty kremowe,Pastéis de nata,Кремовый пирог,Tarta de crema,Bánh kem,Pai krim
CupsBalls,Tasa dhe topa,كؤوس وكرات,Кубкі і шарыкі,杯子和球,Bechertrick,Επιτυχημένες αποκαλύψεις,Cups and Balls,kupit ja pallot,Gobelets Pass Pass,पास पास कप,Šalice i lopte,Piala dan Balls,Tazze e palle,,Bekers en Ballen,Puchary i kule,*Copos e Bolas,Чашки и шарики,Tazas y bolas,Chiếc cốc và Quả bóng,Piala dan Balls
Dice,Zara,حجر النرد,Кубікі,骰子,Würfel,Ζάρια,Dice,Dice,Dés,पासा,Kocke,Dadu,Dado,サイコロ,Dobbelsteen,Kostka do gry,Dados,кость,Dado,Xúc xắc,Dadu
Divisor,Pjesëtues,المقسوم عليه,Дзельнік,除数,Divisor,Διαιρέτης,Divisor,Jakaja,Diviseur,भाजक,Djelitelj,Pembagi,Divisore,除数,Deler,Dzielnik,Divisor,Делитель,Divisor,Số chia,Pembahagi
DotToDot,Nga pikë në pikë,نقطة للنقطة,Кропка да кропкі,点对点,Punkt zu Punkt,Από τελεία σε τελεία,Dot to Dot,Pisteestä pisteeseen,Point par point,बिंदु से बिंदु,Od točke do točke,Titik ke titik,Punto a punto,点つなぎ,Van punt naar punt,Kropka do kropki,Ponto a ponto,Точка к точке,Punto por punto,Chấm đến chấm,Titik ke Titik
EggGame,Lojë me vezë,لعبة البيض,Разбі яйка,孵鸡蛋,Eierspiel,Παιχνίδι αυγών,Egg Game,Muna Peli,Jeu de l'oeuf,अंडे का खेल,Igra jaja,Permainan Telur,Gioco delle uova,エッグゲーム,Ei spel,Gra w jajka,Jogo do ovo,Разбей яйцо,Juego de huevos,Trò chơi trứng,Permainan Telur
findodd,Çfarë nuk shkon ?,,Знайдзі лішняе,,找出不同的,,Find the Odd one out,,Trouvez l’intrus,,,,Trova l’intruso,,wat hoort hier niet thuis?,,,Найди лишнее,,,
flags,Luajmë me Flamujt,اين هذا العلم؟,Знайдзі сцяг,旗子,,,Fun with Flags,,Trouve les drapeaux,,,,Trova la bandiera,,Plezier met vlaggen,,Scopri la bandiera,Найди флаг,,,
FlowerOfNumbers,Lulja e numrave,زهرة الأرقام,Кветка лічбаў,数字之花,Die Blume der Zahlen,Το λουλούδι των αριθμών,The Flower of Numbers,Numeroiden kukka,La Fleur des nombres,संख्या का फूल,Cvijet brojeva,Bunga Angka,Il fiore dei numeri,数字の花,De bloem der getallen,Kwiat Liczb,A Flor dos Números,Цветок чисел,La flor de los números,Bông hoa của những con số,Bunga Bilangan
Follow,Ndiqni rrugën,اتبع المسار,Прытрымлівацца шляху,跟随路径,Folge dem Pfad,Ακολουθήστε το μονοπάτι,Follow the path,Seuraa polkua,Suivre le chemin,राह का अनुसरण करो,Slijedi put,Ikuti jalannya,Segui il sentiero,道をたどる,Volg het pad,Podążać ścieżką,Siga o caminho,Следовать пути,Sigue el camino,Lần theo đường đi,Ikut jalan
FrogsRace,Vrapo bretkosë!,سباق الضفادع!,Жабіны гонкі,兔子赛跑!,Ribbit Run!,Ribbit Run!,Ribbit Run!,La course des grenouilles,La course des grenouilles!,रिबिट रन!,Ribbit Run!,Ribbit Run!,Ribbit Run!,Ribbit Run!,Kikker Loop!,Ribbit Run!,Ribbit Run!,Лягушачие гонки,Ribbit Run!,Ribbit Run!,Frog Runner!
GooseGame,Lojë patë,لعبة أوزة,Хадзі па чарзе,鹅游戏,Gans Spiel,παιχνίδι χήνας,Goose Game,Hanhi peli,Jeu de l'oie,हंस खेल,Igra guske,Permainan angsa,Gioco dell'oca,ガチョウゲーム,Ganzenbord spel,Gra w gęsi,Jogo de ganso,Ходилка,Juego de ganso,Trò chơi ngỗng,Permainan angsa
Horses,Lojë me kuaj të vogël,لعبة حصان صغير,Конікі,小马游戏,kleines Pferdespiel,παιχνίδι με μικρά άλογα,Game of small horses,Pieni hevospeli,Jeu des petits chevaux,छोटे घोड़े का खेल,Mala konjska igra,Permainan kuda kecil,Gioco di cavalli,小さな馬のゲーム,Mens erger je niet!,Mała gra o koniach,Jogo de cavalo pequeno,Лошадки,Juego de caballitos,Trò chơi ngựa nhỏ,Permainan kuda kecil
