,ara,chn,deu,eng,fra,hrv,ita,jpn,por,nld,rus,spa,vnm
bears,أين هو الدب؟,熊在哪里？,Wo ist der Bär?,Where is the bear?,Où est l'ours ?,Gdje je medvjed?,Dov'è l'orso?,クマはどこですか？,Onde está o urso?,Waar is de beer?,Где медведь?,¿Donde está el oso?,Con gấu ở đâu?
bees,أين النحلة؟,蜜蜂在哪里？,Wo ist die Biene?,Where is the bee?,Où est l'abeille ?,Gdje je pčela?,Dov'è l'ape?,ハチはどこですか？,Onde está a abelha?,Waar is de bij?,Где пчела?,¿Dónde está la abeja?,Con ong ở đâu?
cats,أين القطة؟,猫在哪里？,Wo ist die Katze?,Where is the cat?,Où est le chat ?,Gdje je mačka?,Dov'è il gatto?,猫はどこですか？,Onde está o gato?,Waar is de kat?,Где кошка?,¿Donde está el gato?,Con mèo ở đâu rồi?
crocodiles,أين التمساح؟,鳄鱼在哪里？,Wo ist das Krokodil?,Where is the crocodile?,Où est le crocodile ?,Gdje je krokodil?,Dov'è il coccodrillo?,ワニはどこですか？,Onde está o crocodilo?,Waar is de krokodil?,Где крокодил?,¿Dónde está el cocodrilo?,Cá sấu đâu?
dogs,أين هو الكلب؟,狗去哪儿了？,Wo ist der Hund?,Where is the dog?,Où est le chien ?,Gdje je pas?,Dov'è il cane?,犬はどこですか？,Onde está o cachorro?,Waar is de hond?,Где собака?,¿Dónde está el perro?,Con chó ở đâu?
eagles,أين النسر؟,老鹰在哪里？,Wo ist der Adler?,Where is the eagle?,Où est l'aigle ?,Gdje je orao?,Dov'è l'aquila?,ワシはどこですか？,Onde está a águia?,Waar is de adelaar?,Где орёл?,¿Dónde está el águila?,Đại bàng ở đâu?
elephants,أين الفيل؟,大象在哪里？,Wo ist der Elefant?,Where is the elephant?,Où est l'éléphant ?,Gdje je slon?,Dov'è l'elefante?,象はどこですか？,Onde está o elefante?,Waar is de olifant?,Где слон?,¿Dónde está el elefante?,Con voi ở đâu?
horses,أين هو الحصان؟,马在哪里？,Wo ist das Pferd?,Where is the horse?,Où est le cheval ?,Gdje je konj?,Dov'è il cavallo?,馬はどこですか？,Onde está o cavalo?,Waar is het paard?,Где лошадь?,¿Dónde está el caballo?,Con ngựa ở đâu?
lions,اين الاسد؟,狮子在哪里？,Wo ist der Löwe?,Where is the lion?,Où est le lion ?,Gdje je lav?,Dov'è il leone?,ライオンはどこですか？,Onde está o leão?,Waar is de leeuw?,Где лев?,¿Dónde está el león?,Sư tử ở đâu?
owls,أين البومة؟,猫头鹰在哪里？,Wo ist die Eule?,Where is the owl?,Où est la chouette ?,Gdje je sova?,Dov'è il gufo?,フクロウはどこですか？,Onde está a coruja?,Waar is de uil?,Где сова?,¿Dónde está el búho?,Con cú đâu rồi?
parrots,أين الببغاء؟,鹦鹉在哪里？,Wo ist der Papagei?,Where is the parrot?,Où est le perroquet ?,Gdje je papiga?,Dov'è il pappagallo?,オウムはどこですか？,Onde está o papagaio?,Waar is de papegaai?,Где попугай?,¿Dónde está el loro?,Con vẹt đâu rồi?
pigeons,أين الحمامة؟,鸽子在哪里？,Wo ist die Taube?,Where is the pigeon?,Où est le pigeon ?,Gdje je golub?,Dov'è il piccione?,ハトはどこですか？,Onde está o pombo?,Waar is de duif?,Где голубь?,¿Dónde está la paloma?,Đâu là chim bồ câu?
rabbits,أين هو الأرنب؟,兔子在哪里？,Wo ist der Hase?,Where is the rabbit?,Où est le lapin ?,Gdje je kunić?,Dov'è il coniglio?,ウサギはどこですか？,Onde está o coelho?,Waar is het konijn?,Где кролик?,¿Donde está el conejo?,Con thỏ ở đâu?
squirrels,أين هو السنجاب؟,松鼠在哪里？,Wo ist das Eichhörnchen?,Where is the squirrel?,Où est l'écureuil ?,Gdje je vjeverica?,Dov'è lo scoiattolo?,リスはどこですか？,Onde está o esquilo?,Waar is de eekhoorn?,Где белка?,¿Dónde está la ardilla?,Con sóc ở đâu?
tigers,أين النمر؟,老虎在哪里？,Wo ist der Tiger?,Where is the tiger?,Où est le tigre ?,Gdje je tigar?,Dov'è la tigre?,虎はどこですか？,Onde está o tigre?,Waar is de tijger?,Где тигр?,¿Dónde está el tigre?,Con hổ ở đâu?
turtles,أين السلحفاة؟,乌龟在哪里？,Wo ist die Schildkröte?,Where is the turtle?,Où est la tortue ?,Gdje je kornjača?,Dov'è la tartaruga?,カメはどこですか？,Onde está a tartaruga?,Waar is de schildpad?,Где черепаха?,¿Dónde está la tortuga?,Con rùa ở đâu?
