,alb,ara,bel,chn,deu,ell,eng,fin,fra,hin,hrv,ind,ita,jpn,nld,pol,por,rus,spa,vnm,zsm
bear,Ku është ariu?,أين هو الدب؟,Дзе мядзведзь?,熊在哪里？,Wo ist der Bär?,Πού είναι η αρκούδα;,Where is the bear?,Missä karhu on?,Où est l'ours ?,भालू कहाँ है?,Gdje je medvjed?,Di mana beruang itu?,Dov'è l'orso?,クマはどこ？,Waar is de beer?,Gdzie jest niedźwiedź?,Onde está o urso?,Где медведь?,¿Donde está el oso?,Con gấu ở đâu?,Di manakah beruang itu?
beaver,Ku është kastori?,أين القندس؟,Дзе бабёр?,海狸在哪里？,Wo ist der Biber?,Πού είναι ο κάστορας;,Where is the beaver?,Missä majava on?,Où est le castor ?,बीवर कहाँ है?,Gdje je dabar?,Di mana berang-berang?,Dov'è il castoro?,ビーバーはどこにありますか？,Waar is de bever?,Gdzie jest bóbr?,Onde está o castor?,Где бобер?,¿Dónde está el castor?,Con hải ly ở đâu?,Di manakah memerang?
bee,Ku është bleta?,اين النحلة؟,Дзе пчала?,蜜蜂在哪里？,Wo ist die Biene?,Πού είναι η μέλισσα;,Where is the bee?,Missä mehiläinen on?,Où est l'abeille ?,मधुमक्खी कहाँ है?,Gdje je pčela?,Dimana lebahnya?,Dov'è l'ape?,ミツバチはどこですか？,Waar is de bij?,Gdzie jest pszczoła?,Onde está a abelha?,Где пчела?,¿Dónde está la abeja?,Con ong ở đâu?,Di manakah lebah itu?
boar,Ku është derri?,أين الخنزير؟,Дзе кабан?,野猪在哪里？,Wo ist das Wildschwein?,Πού είναι ο κάπρος;,Where is the boar?,Missä villisika on?,Où est le sanglier ?,सूअर कहाँ है?,Gdje je vepar?,Dimana babi?,Dov'è il cinghiale?,イノシシはどこですか？,Waar is het zwijn?,Gdzie jest dzik?,Onde está o javali?,Где кабан?,¿Dónde está el jabalí?,Con heo rừng ở đâu?,Di manakah babi hutan?
cat,Ku është macja?,أين القطة؟,Дзе кот?,猫在哪里？,Wo ist die Katze?,Που είναι η γάτα?,Where is the cat?,Missä kissa on?,Où est le chat?,बिल्ली कहां है?,Gdje je mačka?,Dimana kucing itu?,Dov'è il gatto?,猫はどこ？,Waar is de kat?,Gdzie jest kot?,Onde está o gato?,Где кошка?,¿Donde está el gato?,Con mèo ở đâu rồi?,Di mana kucing itu?
chicken,Ku është pula?,أين الدجاجة؟,Дзе курыца?,鸡在哪里？,Wo ist das Huhn?,Πού είναι το κοτόπουλο;,Where is the chicken?,Missä kana on?,Où est la poule ?,मुर्गी कहाँ है?,Gdje je piletina?,Dimana ayamnya?,Dov'è il pollo?,鶏肉はどこ？,Waar is de kip?,Gdzie jest kurczak?,Onde está o frango?,Где курица?,¿Dónde está el pollo?,Con gà ở đâu?,Di manakah ayam?
cow,Ku është lopa?,اين البقرة؟,Дзе карова?,牛在哪里？,Wo ist die Kuh?,Πού είναι η αγελάδα;,Where is the cow?,Missä lehmä on?,Où est la vache ?,गाय कहाँ है?,Gdje je krava?,Dimana sapinya?,Dov'è la mucca?,牛はどこですか？,Waar is de koe?,Gdzie jest krowa?,Onde está a vaca?,Где корова?,¿Dónde está la vaca?,Con bò ở đâu?,Di manakah lembu itu?
crab,Ku është gaforrja?,أين السلطعون؟,Дзе краб?,螃蟹在哪里？,Wo ist die Krabbe?,Πού είναι το καβούρι;,Where is the crab?,Missä rapu on?,Où est le crabe ?,केकड़ा कहाँ है?,Gdje je rak?,Dimana kepitingnya?,Dov'è il granchio?,カニはどこにありますか？,Waar is de krab?,Gdzie jest krab?,Onde está o caranguejo?,Где краб?,¿Dónde está el cangrejo?,Con cua ở đâu?,Mana ketam?
crocodile,Ku është krokodili?,أين التمساح؟,Дзе кракадзіл?,鳄鱼在哪里？,Wo ist das Krokodil?,Πού είναι ο κροκόδειλος;,Where is the crocodile?,Missä krokotiili on?,Où est le crocodile ?,मगरमच्छ कहाँ है?,Gdje je krokodil?,Dimana buayanya?,Dov'è il coccodrillo?,ワニはどこにいますか？,Waar is de krokodil?,Gdzie jest krokodyl?,Onde está o crocodilo?,Где крокодил?,¿Dónde está el cocodrilo?,Con cá sấu ở đâu?,Mana buaya?
deer,Ku është dreri?,اين هو الغزال؟,Дзе алень?,鹿在哪里？,Wo ist der Hirsch?,Πού είναι το ελάφι;,Where is the deer?,Missä peura on?,Où est le cerf ?,हिरण कहाँ है?,Gdje je jelen?,Dimana rusa?,Dov'è il cervo?,鹿はどこ？,Waar is het hert?,Gdzie jest jeleń?,Onde está o veado?,Где олень?,¿Dónde está el ciervo?,Con nai ở đâu?,mana rusa?
dog,Ku është qeni?,أين هو الكلب؟,Дзе сабака?,狗去哪儿了？,Wo ist der Hund?,Που είναι ο σκύλος?,Where is the dog?,Missä koira on?,Où est le chien ?,कुत्ता कहां है?,Gdje je pas?,Dimana anjingnya?,Dov'è il cane?,犬はどこですか？,Waar is de hond?,Gdzie jest pies?,Onde está o cachorro?,Где собака?,¿Dónde está el perro?,Con chó ở đâu?,Dimana anjing itu?
dolphin,Ku është delfini?,أين الدلفين؟,Дзе дэльфін?,海豚在哪里？,Wo ist der Delphin?,Πού είναι το δελφίνι;,Where is the dolphin?,Missä delfiini on?,Où est le dauphin ?,डॉल्फ़िन कहाँ है?,Gdje je dupin?,Dimana lumba-lumba?,Dov'è il delfino?,イルカはどこですか？,Waar is de dolfijn?,Gdzie jest delfin?,Onde está o golfinho?,Где дельфин?,¿Dónde está el delfín?,Cá heo ở đâu?,Di manakah ikan lumba-lumba?
donkey,Ku është gomari?,اين الحمار؟,Дзе асёл?,驴在哪里？,Wo ist der Esel?,Πού είναι ο γάιδαρος;,Where is the donkey?,Missä aasi on?,Où est l'âne ?,गधा कहाँ है?,Gdje je magarac?,Di mana keledai itu?,Dov'è l'asino?,ロバはどこですか？,Waar is de ezel?,Gdzie jest osioł?,Onde está o burro?,Где осел?,¿Dónde está el burro?,Con lừa ở đâu?,Di manakah keldai itu?
eagle,Ku është shqiponja?,أين النسر؟,Дзе арол?,老鹰在哪里？,Wo ist der Adler?,Πού είναι ο αετός;,Where is the eagle?,Missä kotka on?,Où est l'aigle ?,चील कहाँ है?,Gdje je orao?,Di mana elang?,Dov'è l'aquila?,ワシはどこですか？,Waar is de adelaar?,Gdzie jest orzeł?,Onde está a águia?,Где орел?,¿Dónde está el águila?,Con đại bàng ở đâu?,Di manakah helang?
elephant,Ku është elefanti?,أين الفيل؟,Дзе слон?,大象在哪里？,Wo ist der Elefant?,Πού είναι ο ελέφαντας;,Where is the elephant?,Missä norsu on?,Où est l'éléphant ?,हाथी कहाँ है?,Gdje je slon?,Dimana gajah?,Dov'è l'elefante?,象はどこにいますか？,Waar is de olifant?,Gdzie jest słoń?,Onde está o elefante?,Где слон?,¿Dónde está el elefante?,Con voi ở đâu?,Di manakah gajah itu?
fish,Ku është peshku?,أين السمكة؟,Дзе рыба?,鱼在哪里？,Wo ist der Fisch?,Πού είναι το ψάρι;,Where is the fish?,Missä kala on?,Où est le poisson ?,मछली कहाँ है?,Gdje je riba?,Dimana ikannya?,Dov'è il pesce?,魚はどこですか？,Waar is de vis?,Gdzie jest ryba?,Onde está o peixe?,Где рыба?,¿Dónde está el pescado?,Con cá ở đâu?,mana ikan?
fox,Ku është dhelpra?,أين الثعلب؟,Дзе ліса?,狐狸在哪里？,Wo ist der Fuchs?,Πού είναι η αλεπού;,Where is the fox?,Missä kettu on?,Où est le renard ?,लोमड़ी कहाँ है?,Gdje je lisica?,Dimana rubah?,Dov'è la volpe?,キツネはどこですか？,Waar is de vos?,Gdzie jest lis?,Onde está a raposa?,Где лиса?,¿Dónde está el zorro?,Con cáo ở đâu?,Mana musang?
giraffe,Ku është gjirafa?,أين الزرافة؟,Дзе жыраф?,长颈鹿在哪里？,Wo ist die Giraffe?,Πού είναι η καμηλοπάρδαλη;,Where is the giraffe?,Missä kirahvi on?,Où est la girafe ?,जिराफ कहाँ है?,Gdje je žirafa?,Dimana jerapah?,Dov'è la giraffa?,キリンはどこですか？,Waar is de giraf?,Gdzie jest żyrafa?,Onde está a girafa?,Где жираф?,¿Dónde está la jirafa?,Con hươu cao cổ ở đâu?,Di manakah zirafah?
